GeneID	H(c|x)	p_e
ivd	6.2849e-01	2.7382e-01
sned1	6.2849e-01	2.7382e-01
pygb	6.2849e-01	2.7382e-01
CU929304.1	6.2850e-01	2.7382e-01
rab3gap2	6.2850e-01	2.7382e-01
rdh1	6.2850e-01	2.7383e-01
ggps1	6.2850e-01	2.7383e-01
hnrnpk	6.2851e-01	2.7383e-01
si:ch211-51f19.1	6.2853e-01	2.7385e-01
armc7	6.2853e-01	2.7385e-01
crestin	6.2855e-01	2.7386e-01
si:dkey-102f14.7	6.2856e-01	2.7387e-01
slc25a18	6.2858e-01	2.7388e-01
hspa14	6.2858e-01	2.7389e-01
adat3	6.2859e-01	2.7389e-01
fstl1b	6.2859e-01	2.7389e-01
ighz	6.2859e-01	2.7389e-01
supv3l1	6.2862e-01	2.7392e-01
si:ch211-188p14.4	6.2863e-01	2.7393e-01
tspeara	6.2863e-01	2.7393e-01
arih2	6.2864e-01	2.7393e-01
rabgap1l2	6.2864e-01	2.7393e-01
setd3	6.2864e-01	2.7394e-01
ino80da	6.2865e-01	2.7394e-01
paip2b	6.2865e-01	2.7394e-01
kif25	6.2869e-01	2.7397e-01
rgl3a	6.2872e-01	2.7399e-01
nmt2	6.2873e-01	2.7400e-01
map3k7	6.2873e-01	2.7400e-01
bcl7bb	6.2873e-01	2.7400e-01
zgc:153654	6.2873e-01	2.7400e-01
slc6a11a	6.2874e-01	2.7401e-01
rdh12	6.2874e-01	2.7401e-01
pcdh10a	6.2874e-01	2.7401e-01
CABZ01038376.1	6.2876e-01	2.7402e-01
snx30	6.2876e-01	2.7402e-01
zgc:113054	6.2877e-01	2.7403e-01
CR376848.1	6.2878e-01	2.7404e-01
onecut3a	6.2878e-01	2.7404e-01
si:dkeyp-68b7.5	6.2879e-01	2.7405e-01
myzap	6.2879e-01	2.7405e-01
alg5	6.2880e-01	2.7406e-01
si:dkey-56m15.5	6.2881e-01	2.7406e-01
prdm1a	6.2881e-01	2.7406e-01
mlxipl	6.2882e-01	2.7407e-01
zgc:103438	6.2882e-01	2.7407e-01
slc4a7	6.2882e-01	2.7407e-01
golgb1	6.2883e-01	2.7408e-01
casd1	6.2885e-01	2.7409e-01
slc27a6	6.2886e-01	2.7410e-01
actn3a	6.2886e-01	2.7410e-01
hs6st1b	6.2886e-01	2.7410e-01
uts1	6.2886e-01	2.7410e-01
si:ch211-251b21.1	6.2886e-01	2.7410e-01
sgf29	6.2888e-01	2.7411e-01
zdhhc15b	6.2889e-01	2.7413e-01
slc38a10	6.2890e-01	2.7413e-01
si:ch211-276c2.4	6.2890e-01	2.7413e-01
zgc:162297	6.2891e-01	2.7414e-01
CABZ01037298.1	6.2891e-01	2.7414e-01
atg9b	6.2892e-01	2.7415e-01
si:ch211-250k18.7	6.2893e-01	2.7416e-01
sept8a	6.2893e-01	2.7416e-01
taar20z	6.2894e-01	2.7416e-01
si:dkey-156n14.5	6.2894e-01	2.7417e-01
BX324216.4	6.2895e-01	2.7417e-01
cadpsa	6.2895e-01	2.7417e-01
frmd5	6.2896e-01	2.7418e-01
gal3st4	6.2896e-01	2.7418e-01
calhm5.1	6.2897e-01	2.7419e-01
znf516	6.2900e-01	2.7421e-01
htr5aa	6.2901e-01	2.7422e-01
dazl	6.2901e-01	2.7422e-01
xirp2a	6.2903e-01	2.7423e-01
noa1	6.2903e-01	2.7423e-01
si:dkey-261i16.5	6.2905e-01	2.7425e-01
pcdh1gc6	6.2905e-01	2.7425e-01
ggact.3	6.2907e-01	2.7427e-01
alkbh5	6.2908e-01	2.7427e-01
si:dkey-67c22.2	6.2910e-01	2.7429e-01
HECTD4	6.2910e-01	2.7429e-01
or129-1	6.2912e-01	2.7430e-01
stox1	6.2912e-01	2.7430e-01
si:dkey-44g23.2	6.2913e-01	2.7431e-01
si:dkeyp-2c8.3	6.2914e-01	2.7432e-01
caspbl	6.2914e-01	2.7432e-01
camta1a	6.2915e-01	2.7433e-01
bach1b	6.2915e-01	2.7433e-01
si:dkeyp-26a9.7	6.2915e-01	2.7433e-01
ddx27	6.2916e-01	2.7433e-01
vps41	6.2917e-01	2.7434e-01
dpy30	6.2918e-01	2.7435e-01
si:ch211-76l23.4	6.2918e-01	2.7435e-01
lrtm2b	6.2919e-01	2.7436e-01
si:ch211-106h4.5	6.2920e-01	2.7437e-01
fam136a	6.2920e-01	2.7437e-01
si:dkey-240n22.3	6.2921e-01	2.7437e-01
plekhf1	6.2921e-01	2.7437e-01
si:dkey-6d5.1	6.2922e-01	2.7438e-01
pex1	6.2923e-01	2.7439e-01
BX323543.5	6.2927e-01	2.7442e-01
BX901898.2	6.2928e-01	2.7443e-01
hs3st2	6.2930e-01	2.7445e-01
fbln2	6.2931e-01	2.7445e-01
cxcr2	6.2931e-01	2.7445e-01
acp5a	6.2932e-01	2.7445e-01
gpr137c	6.2934e-01	2.7447e-01
cope	6.2934e-01	2.7448e-01
epha6	6.2936e-01	2.7449e-01
oser1	6.2937e-01	2.7450e-01
xkrx	6.2938e-01	2.7450e-01
fam19a5l	6.2939e-01	2.7451e-01
cldnd1a	6.2940e-01	2.7452e-01
smtna	6.2940e-01	2.7452e-01
bmpr1ba	6.2940e-01	2.7452e-01
adra2b	6.2940e-01	2.7452e-01
rpz	6.2941e-01	2.7453e-01
usp2a	6.2942e-01	2.7454e-01
clcn4	6.2943e-01	2.7454e-01
zfyve28	6.2943e-01	2.7454e-01
CHCHD5	6.2943e-01	2.7454e-01
si:dkeyp-46h3.1	6.2943e-01	2.7454e-01
asb13b	6.2943e-01	2.7454e-01
viml	6.2943e-01	2.7455e-01
si:ch73-383g2.1	6.2944e-01	2.7455e-01
